VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,LocationID_DO,lat_DO,lng_DO,LocationID_PU,lat_PU,lng_PU,timestamp
2,2022-01-02 07:43:22,2022-01-02 08:00:10,1.0,4.23,1.0,N,142,42,1,16.5,0.0,0.5,2.18,0.0,0.3,21.98,2.5,0.0,42,40.82104621409778,-73.93951646931666,142,40.77390598538879,-73.98135241373991,2022-01-02 08:00:10 - 2022-01-02 07:43:22
1,2022-01-02 07:55:38,2022-01-02 08:01:49,2.0,2.0,1.0,N,142,68,1,8.0,2.5,0.5,2.25,0.0,0.3,13.55,2.5,0.0,68,40.74839722483199,-73.99994015650746,142,40.77390598538879,-73.98135241373991,2022-01-02 08:01:49 - 2022-01-02 07:55:38
2,2022-01-02 07:49:14,2022-01-02 07:51:30,1.0,0.63,1.0,N,142,163,1,4.0,0.0,0.5,2.19,0.0,0.3,9.49,2.5,0.0,163,40.76442545340527,-73.97836698802045,142,40.77390598538879,-73.98135241373991,2022-01-02 07:51:30 - 2022-01-02 07:49:14
2,2022-01-02 07:50:07,2022-01-02 07:51:50,1.0,0.28,1.0,N,142,163,2,3.5,0.0,0.5,0.0,0.0,0.3,6.8,2.5,0.0,163,40.76442545340527,-73.97836698802045,142,40.77390598538879,-73.98135241373991,2022-01-02 07:51:50 - 2022-01-02 07:50:07
2,2022-01-02 07:14:31,2022-01-02 07:26:45,1.0,2.13,1.0,N,142,140,1,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5,0.0,140,40.76550681823176,-73.95456804213481,142,40.77390598538879,-73.98135241373991,2022-01-02 07:26:45 - 2022-01-02 07:14:31
2,2022-01-02 07:19:51,2022-01-02 07:33:52,1.0,4.05,1.0,N,142,107,1,14.5,0.0,0.5,0.06,0.0,0.3,17.86,2.5,0.0,107,40.737348376321,-73.98331035324628,142,40.77390598538879,-73.98135241373991,2022-01-02 07:33:52 - 2022-01-02 07:19:51
2,2022-01-02 07:13:17,2022-01-02 07:15:42,1.0,0.4,1.0,N,142,43,4,-4.0,0.0,-0.5,0.0,0.0,-0.3,-7.3,-2.5,0.0,43,40.782459738636334,-73.96557217995945,142,40.77390598538879,-73.98135241373991,2022-01-02 07:15:42 - 2022-01-02 07:13:17
2,2022-01-02 07:18:47,2022-01-02 07:34:38,1.0,5.27,1.0,N,142,4,1,18.5,0.0,0.5,5.45,0.0,0.3,27.25,2.5,0.0,4,40.72415214367157,-73.97702292193391,142,40.77390598538879,-73.98135241373991,2022-01-02 07:34:38 - 2022-01-02 07:18:47
1,2022-01-02 07:45:04,2022-01-02 07:46:00,1.0,10.7,1.0,N,142,142,2,2.5,2.5,0.5,0.0,0.0,0.3,5.8,2.5,0.0,142,40.77390598538879,-73.98135241373991,142,40.77390598538879,-73.98135241373991,2022-01-02 07:46:00 - 2022-01-02 07:45:04
2,2022-01-02 07:41:12,2022-01-02 07:44:24,1.0,0.52,1.0,N,142,142,2,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5,0.0,142,40.77390598538879,-73.98135241373991,142,40.77390598538879,-73.98135241373991,2022-01-02 07:44:24 - 2022-01-02 07:41:12
2,2022-01-02 07:13:17,2022-01-02 07:15:42,1.0,0.4,1.0,N,142,142,2,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5,0.0,142,40.77390598538879,-73.98135241373991,142,40.77390598538879,-73.98135241373991,2022-01-02 07:15:42 - 2022-01-02 07:13:17
2,2022-01-02 07:44:39,2022-01-02 07:49:43,3.0,0.72,1.0,N,142,142,1,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5,0.0,142,40.77390598538879,-73.98135241373991,142,40.77390598538879,-73.98135241373991,2022-01-02 07:49:43 - 2022-01-02 07:44:39
1,2022-01-02 07:55:09,2022-01-02 07:55:52,4.0,0.0,1.0,N,142,142,1,2.5,2.5,0.5,0.0,0.0,0.3,5.8,2.5,0.0,142,40.77390598538879,-73.98135241373991,142,40.77390598538879,-73.98135241373991,2022-01-02 07:55:52 - 2022-01-02 07:55:09
2,2022-01-02 07:54:52,2022-01-02 08:01:10,1.0,2.02,1.0,N,142,246,1,8.0,0.0,0.5,1.7,0.0,0.3,13.0,2.5,0.0,246,40.7524372519649,-74.00451257207506,142,40.77390598538879,-73.98135241373991,2022-01-02 08:01:10 - 2022-01-02 07:54:52
2,2022-01-02 07:27:49,2022-01-02 07:31:40,1.0,0.8,1.0,N,142,239,2,4.5,0.0,0.5,0.0,0.0,0.3,7.8,2.5,0.0,239,40.784107364553954,-73.97827334184862,142,40.77390598538879,-73.98135241373991,2022-01-02 07:31:40 - 2022-01-02 07:27:49
2,2022-01-02 07:18:25,2022-01-02 07:23:31,1.0,1.47,1.0,N,142,162,1,6.5,0.0,0.5,1.47,0.0,0.3,11.27,2.5,0.0,162,40.756816155312855,-73.97214548508123,142,40.77390598538879,-73.98135241373991,2022-01-02 07:23:31 - 2022-01-02 07:18:25
1,2022-01-02 07:09:18,2022-01-02 07:14:37,1.0,0.9,1.0,N,142,162,2,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0,162,40.756816155312855,-73.97214548508123,142,40.77390598538879,-73.98135241373991,2022-01-02 07:14:37 - 2022-01-02 07:09:18
2,2022-01-02 07:37:18,2022-01-02 07:47:50,1.0,3.34,1.0,N,142,234,1,11.5,0.0,0.5,2.96,0.0,0.3,17.76,2.5,0.0,234,40.74031346458802,-73.99047761896912,142,40.77390598538879,-73.98135241373991,2022-01-02 07:47:50 - 2022-01-02 07:37:18
2,2022-01-02 07:00:00,2022-01-02 07:14:00,,6.03,,,142,244,0,23.89,0.0,0.5,5.88,0.0,0.3,33.07,,,244,40.84121866986656,-73.94166681405747,142,40.77390598538879,-73.98135241373991,2022-01-02 07:14:00 - 2022-01-02 07:00:00
2,2022-01-02 07:46:59,2022-01-02 08:07:20,3.0,6.64,1.0,N,142,147,2,21.5,0.0,0.5,0.0,0.0,0.3,24.8,2.5,0.0,147,40.81919853034568,-73.89819293473154,142,40.77390598538879,-73.98135241373991,2022-01-02 08:07:20 - 2022-01-02 07:46:59
1,2022-01-02 07:56:26,2022-01-02 08:24:16,2.0,11.0,1.0,N,142,138,1,32.0,2.5,0.5,9.7,13.1,0.3,58.1,2.5,0.0,138,40.77486738951802,-73.8728037146871,142,40.77390598538879,-73.98135241373991,2022-01-02 08:24:16 - 2022-01-02 07:56:26
2,2022-01-02 07:04:25,2022-01-02 07:27:46,1.0,10.78,1.0,N,142,138,1,31.5,0.0,0.5,6.96,0.0,0.3,41.76,2.5,0.0,138,40.77486738951802,-73.8728037146871,142,40.77390598538879,-73.98135241373991,2022-01-02 07:27:46 - 2022-01-02 07:04:25
1,2022-01-02 07:06:39,2022-01-02 07:11:14,1.0,1.0,1.0,N,142,230,2,5.5,2.5,0.5,0.0,0.0,0.3,8.8,2.5,0.0,230,40.75984474002954,-73.98417616082217,142,40.77390598538879,-73.98135241373991,2022-01-02 07:11:14 - 2022-01-02 07:06:39
2,2022-01-02 07:52:35,2022-01-02 08:24:20,3.0,21.13,1.0,N,142,29,2,-57.0,0.0,-0.5,0.0,0.0,-0.3,-60.3,-2.5,0.0,29,40.58219554657125,-73.96057984811755,142,40.77390598538879,-73.98135241373991,2022-01-02 08:24:20 - 2022-01-02 07:52:35
2,2022-01-02 07:52:35,2022-01-02 08:24:20,3.0,21.13,1.0,N,142,29,2,57.0,0.0,0.5,0.0,0.0,0.3,60.3,2.5,0.0,29,40.58219554657125,-73.96057984811755,142,40.77390598538879,-73.98135241373991,2022-01-02 08:24:20 - 2022-01-02 07:52:35
2,2022-01-02 07:09:42,2022-01-02 07:13:35,1.0,0.95,1.0,N,166,166,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0,0.0,166,40.80957022827245,-73.96181526438258,166,40.80957022827245,-73.96181526438258,2022-01-02 07:13:35 - 2022-01-02 07:09:42
